student_id,roll_no,department,semester,attendance_percentage,current_cgpa,previous_cgpa,cgpa_trend,backlogs,internal_marks,assignment_score,credits_completed,event_participation,internship_status,skill_score,placement_status,at_risk,risk_probability_ground_truth
STU-4490,24EC990,ECE,4,94.1,7.72,7.65,stable,0,81.0,83.5,80,71.0,,78.8,Not Eligible,0,0.082
STU-3428,25IT828,IT,2,75.4,8.06,8.19,stable,0,77.6,72.6,44,57.3,,71.8,Not Eligible,0,0.169
STU-3897,24EC397,ECE,3,91.7,6.27,6.7,declining,0,63.9,88.6,61,20.2,,81.7,Not Eligible,0,0.266
STU-1647,25CS847,CSE,1,77.6,8.3,8.27,stable,0,88.4,78.5,21,52.1,,84.3,Not Eligible,0,0.071
STU-4755,24EC355,ECE,4,65.0,9.4,9.97,declining,1,92.0,56.3,80,58.1,,93.1,Not Eligible,1,0.648
STU-6944,23ME744,Mechanical,5,79.4,6.56,6.75,declining,0,70.9,89.1,106,59.7,Completed,66.9,Eligible,0,0.136
STU-3959,25EC459,ECE,2,83.4,7.3,7.12,improving,0,81.2,86.7,43,70.1,,98.0,Not Eligible,0,0.091
STU-7213,25ME113,Mechanical,1,62.5,6.14,6.01,stable,1,57.4,60.9,18,52.4,,49.9,Not Eligible,1,0.801
STU-6913,25ME713,Mechanical,1,74.5,5.94,6.13,declining,0,55.7,72.0,23,69.3,,68.9,Not Eligible,0,0.247
STU-5279,23EE879,EEE,6,90.5,8.35,8.44,stable,0,85.2,96.8,128,42.5,Completed,81.0,Eligible,0,0.082
STU-0909,25CS109,CSE,2,89.3,7.36,6.46,improving,0,64.3,81.9,42,48.4,,58.2,Not Eligible,0,0.079
STU-6731,23ME531,Mechanical,6,85.3,6.12,5.98,stable,0,51.9,88.8,127,81.1,Completed,66.7,In Process,0,0.245
STU-3204,24IT604,IT,3,87.3,7.98,8.24,declining,0,76.4,91.4,63,78.7,,87.0,Not Eligible,0,0.19
STU-1765,25CS965,CSE,2,76.0,7.6,7.25,improving,1,74.0,82.9,34,84.2,Ongoing,77.3,Not Eligible,0,0.3
STU-1539,25CS739,CSE,2,78.3,6.82,6.81,stable,1,68.4,74.4,40,61.1,,68.3,Not Eligible,0,0.15
STU-5365,25EE965,EEE,2,77.9,7.89,8.0,stable,0,82.6,73.4,40,77.6,,69.6,Not Eligible,0,0.093
STU-1066,23CS266,CSE,6,77.8,7.69,8.27,declining,0,73.9,76.5,124,76.8,Ongoing,77.8,Eligible,0,0.195
STU-6686,24ME486,Mechanical,4,83.8,7.65,7.55,stable,0,76.4,82.3,82,78.7,,69.1,Not Eligible,0,0.069
STU-6852,25ME652,Mechanical,2,82.5,7.85,8.12,declining,0,79.6,80.3,40,34.8,Ongoing,49.1,Not Eligible,0,0.263
STU-0411,24CS511,CSE,3,88.7,6.05,6.16,stable,2,55.7,87.4,57,41.8,,84.0,Not Eligible,0,0.492
STU-0536,22CS636,CSE,8,75.1,8.51,8.58,stable,0,89.1,80.3,168,81.4,Ongoing,87.8,Placed,0,0.128
STU-1500,22CS700,CSE,7,83.2,6.73,6.59,stable,0,59.8,84.5,149,74.5,Completed,72.6,Placed,0,0.055
STU-0567,24CS667,CSE,4,86.9,8.75,8.56,improving,0,89.2,83.3,84,64.9,,66.7,Not Eligible,0,0.06
STU-0880,25CS980,CSE,2,76.7,7.87,7.77,stable,0,74.7,72.6,42,90.7,,70.4,Not Eligible,0,0.051
STU-5656,22EE356,EEE,8,76.2,9.3,8.94,improving,0,87.3,83.3,164,58.3,Ongoing,88.1,Placed,0,0.095
STU-3217,22IT617,IT,8,64.8,9.05,8.64,improving,0,92.4,56.5,169,46.4,Completed,78.3,Placed,0,0.23
STU-3639,23EC139,ECE,6,78.5,7.39,7.58,declining,0,73.3,81.5,126,62.4,,56.7,Eligible,0,0.154
STU-5604,24EE304,EEE,3,99.0,6.6,6.37,improving,0,70.7,90.6,64,98.0,,49.1,Not Eligible,0,0.122
STU-8187,23CI187,Civil,6,82.5,7.58,7.56,stable,0,73.6,82.2,122,90.3,,83.3,Eligible,0,0.133
STU-1537,25CS737,CSE,2,86.7,9.95,10.0,stable,0,99.0,92.5,44,23.2,,91.4,Not Eligible,0,0.164
STU-1543,23CS743,CSE,5,81.8,7.8,7.09,improving,0,72.0,80.8,107,81.4,Completed,86.1,Eligible,0,0.099
STU-2676,22IT976,IT,8,77.3,8.78,8.55,improving,0,87.4,80.4,166,47.6,Completed,98.0,Placed,0,0.073
STU-2229,23IT529,IT,6,98.2,7.88,7.75,stable,0,82.1,91.7,128,26.3,,75.5,Eligible,0,0.149
STU-2557,25IT857,IT,1,86.2,7.18,7.47,declining,0,61.8,89.1,19,75.3,Ongoing,73.8,Not Eligible,0,0.067
STU-8316,22CI316,Civil,8,80.4,6.18,6.41,declining,0,63.7,75.1,166,31.8,,53.2,Placed,0,0.217
STU-5424,24EE124,EEE,3,89.3,8.51,7.97,improving,0,86.1,84.5,64,55.3,,91.5,Not Eligible,0,0.039
STU-1514,25CS714,CSE,1,76.6,7.77,7.82,stable,0,81.2,81.4,19,67.9,,74.2,Not Eligible,0,0.165
STU-6814,25ME614,Mechanical,2,74.0,7.39,6.68,improving,0,71.0,66.1,44,83.2,,73.9,Not Eligible,0,0.065
STU-1145,24CS345,CSE,3,89.4,8.28,8.12,improving,0,79.8,94.8,63,60.7,,74.5,Not Eligible,0,0.05
STU-4449,25EC949,ECE,2,72.6,7.55,7.37,improving,0,70.0,74.5,42,36.7,,87.6,Not Eligible,0,0.093
STU-7685,23CI585,Civil,5,87.8,7.35,6.95,improving,0,73.1,94.3,107,59.2,Completed,73.8,Eligible,0,0.039
STU-5255,24EE855,EEE,4,83.5,7.14,6.98,improving,0,75.0,83.3,85,79.4,,61.8,Not Eligible,0,0.069
STU-4554,24EC154,ECE,4,79.1,7.16,6.83,improving,0,79.9,76.3,82,43.7,,66.4,Not Eligible,0,0.108
STU-5465,23EE165,EEE,6,80.7,6.41,5.95,improving,0,57.4,77.5,128,61.9,,80.0,In Process,0,0.095
STU-1448,22CS648,CSE,7,90.0,9.03,9.27,declining,0,88.3,99.2,148,65.3,Ongoing,68.0,Placed,0,0.142
STU-7994,24CI894,Civil,3,67.6,6.41,6.28,stable,2,62.1,60.7,57,74.8,,71.3,Not Eligible,0,0.435
STU-2495,22IT795,IT,8,99.0,7.36,7.98,declining,0,83.5,85.0,164,47.8,Completed,67.5,Not Eligible,0,0.32
STU-2086,24CS386,CSE,4,96.0,8.56,8.72,declining,0,83.7,83.3,84,73.5,,73.4,Not Eligible,0,0.124
STU-1209,24CS409,CSE,3,90.6,8.47,8.32,improving,0,83.3,87.4,63,55.2,,83.3,Not Eligible,0,0.111
STU-4011,23EC511,ECE,6,67.8,7.88,8.03,declining,1,81.1,65.0,120,63.4,Completed,74.9,In Process,0,0.394
STU-6032,25EE732,EEE,2,79.1,8.71,8.94,declining,0,97.1,78.2,42,47.0,Ongoing,74.7,Not Eligible,0,0.185
STU-7791,25CI691,Civil,1,63.3,6.17,5.97,improving,0,59.7,73.9,18,79.7,,54.7,Not Eligible,0,0.473
STU-5323,25EE923,EEE,1,89.8,8.8,7.96,improving,0,91.2,92.8,19,39.3,,72.6,Not Eligible,0,0.167
STU-0399,23CS499,CSE,6,65.0,6.98,6.98,stable,2,65.7,74.3,118,33.9,,57.5,In Process,1,0.768
STU-7794,24CI694,Civil,4,88.3,6.31,6.09,improving,0,52.9,82.3,84,67.1,,54.1,Not Eligible,0,0.181
STU-6042,24EE742,EEE,3,75.2,6.75,7.05,declining,1,72.0,77.0,59,58.3,,71.0,Not Eligible,0,0.322
STU-6907,24ME707,Mechanical,4,89.9,6.88,6.98,stable,0,74.3,88.1,80,66.7,,68.1,Not Eligible,0,0.057
STU-2189,24IT489,IT,3,83.3,9.23,9.15,stable,0,97.1,91.8,61,17.8,,97.3,Not Eligible,0,0.096
STU-8038,24CI938,Civil,4,76.4,8.01,7.8,improving,0,73.7,83.7,80,82.6,,71.6,Not Eligible,0,0.121
STU-4025,23EC525,ECE,6,99.0,9.06,8.96,stable,0,91.5,97.6,127,60.5,Ongoing,98.0,Eligible,0,0.11
STU-0359,22CS459,CSE,8,92.7,8.83,9.2,declining,0,92.5,91.0,169,36.8,,63.8,Placed,0,0.183
STU-4073,24EC573,ECE,3,86.8,6.89,6.87,stable,0,62.9,88.6,59,50.4,,60.9,Not Eligible,0,0.05
STU-2001,24CS301,CSE,3,99.0,8.13,8.86,declining,0,88.1,87.0,59,83.6,,80.8,Not Eligible,0,0.233
STU-6891,25ME691,Mechanical,1,85.9,6.76,6.72,stable,0,62.5,77.9,18,90.7,,70.4,Not Eligible,0,0.087
STU-3457,24IT857,IT,4,83.7,9.27,9.07,improving,0,86.9,74.1,84,86.3,,94.9,Not Eligible,0,0.1
STU-2193,24IT493,IT,3,99.0,7.18,7.4,declining,0,65.2,89.4,59,71.9,Ongoing,83.8,Not Eligible,0,0.129
STU-3063,25IT463,IT,2,70.0,9.95,10.0,stable,0,95.5,72.6,40,80.7,,98.0,Not Eligible,0,0.187
STU-5183,22EC783,ECE,8,92.0,7.37,7.7,declining,0,82.1,91.5,170,52.9,Completed,59.5,In Process,0,0.127
STU-5051,25EC651,ECE,1,79.6,8.74,9.13,declining,0,87.5,73.5,21,49.9,,79.3,Not Eligible,0,0.137
STU-2014,25CS314,CSE,2,82.7,8.41,8.36,stable,0,78.9,77.6,44,58.5,,94.7,Not Eligible,0,0.139
STU-4527,22EC127,ECE,7,84.5,6.82,6.39,improving,0,70.2,82.0,145,49.0,,83.8,In Process,0,0.065
STU-5003,23EC603,ECE,6,87.4,7.27,7.65,declining,0,74.3,81.1,124,50.3,Completed,89.9,Eligible,0,0.169
STU-4032,22EC532,ECE,7,84.5,7.85,7.66,improving,0,76.0,75.9,149,59.2,Completed,88.3,Placed,0,0.065
STU-3351,25IT751,IT,1,82.1,7.14,7.52,declining,1,70.4,79.6,19,40.9,,61.6,Not Eligible,0,0.272
STU-0509,22CS609,CSE,8,73.9,9.46,9.15,improving,0,93.9,73.7,168,76.7,Ongoing,96.5,Placed,0,0.066
STU-4120,22EC620,ECE,7,95.7,7.99,7.75,improving,0,77.5,86.6,143,73.8,,76.9,Placed,0,0.064
STU-8417,23CI417,Civil,5,69.7,6.74,7.02,declining,0,63.1,68.3,101,76.1,Ongoing,47.3,Eligible,0,0.239
STU-2835,22IT235,IT,7,81.4,7.65,6.96,improving,0,69.8,81.3,145,50.2,Completed,66.8,Placed,0,0.096
STU-3076,24IT476,IT,3,76.1,8.58,7.88,improving,0,83.5,73.5,64,84.5,Ongoing,69.9,Not Eligible,0,0.089
STU-1752,25CS952,CSE,2,88.4,8.23,8.0,improving,0,80.9,73.3,40,71.5,Ongoing,83.9,Not Eligible,0,0.121
